property_name,prop_location,number_of_rooms,prop_bathrooms,sale_price OMR,prop_area SqM,Ad_Type
مخطط الرميس الساحلي,"Barka, Al Batinah•",3,3,19000,600,For Sale
للبيع ارض زراعية في السعرات البريمي,"Al Buraimi, Al Buraimi•",3,3,23000,2,For Sale
ارض تجارية مبناي,"Al Buraimi, Al Buraimi•",3,3,16000,181,For Sale
ارض صناعيه في البريمي,"Al Buraimi, Al Buraimi•",3,3,70000,2,For Sale
ارض سكنية في العامرات بمساحة 900 متر مربع من المالك,"Al Amarat, Muscat•",3,3,30000,900,For Sale
محل حلاقة للبيع,"Sohar, Al Batinah•",3,3,2000,10,For Sale
للبيع ارض في العامرات مدينة النهضه,"Al Amarat, Muscat•",3,3,7000,600,For Sale
للبيع مخطط حي المزن السكني,"Al Maabilah, Muscat•",3,3,54000,600,For Sale
ارض للبيع طاقه مربع س موقع جميل جدا مستوي خلف المركز,"Taqah, Dhofar•",3,3,7000,1,For Sale
ورشة/ جراج تصليح وسمكرة ودهان للبيع,"Al Maabilah, Muscat•",1,1,12000,400,For Sale
راس الجنز 2 الامتداد يمين وانت رايح الاشخرة,"Sur, Al Sharqiya•",3,3,2000,663,For Sale
للبيع ارض في راس الجنز,"Sur, Al Sharqiya•",3,3,2000,800,For Sale
راس الجنز قريب المحميه وخورجراما والمحطة,"Sur, Al Sharqiya•",3,3,2000,700,For Sale
صحنلوت مربع ب,"Taqah, Dhofar•",3,3,22000,600,For Sale
للبيع ارض سكنيه في الحاجر العامرات,"Al Amarat, Muscat•",3,3,11000,600,For Sale
للبيع ارض سكنيه فيي العامرات 1/8,"Al Amarat, Muscat•",3,3,33000,600,For Sale
للبيع ارض في العامرات جحلوت,"Al Amarat, Muscat•",3,3,5000,600,For Sale
للبيع في العامرات جحلوت,"Al Amarat, Muscat•",3,3,7000,600,For Sale
للبيع ارض في العامرات الجفينة,"Al Amarat, Muscat•",3,3,23000,600,For Sale
للبيع ارض في العامرات سمكت,"Al Amarat, Muscat•",3,3,4000,720,For Sale
Almouj Muscat,"The Wave (Almouj), Muscat•",1,1,100000,105,For Sale
ارض للبيع في ولاية شناص,"Shinas, Al Batinah•",3,3,2000,601,For Sale
قطع سكنية شبك بلوك كاااامل مفتوح من كل الاتجاهات  في ولاية شناص,"Shinas, Al Batinah•",3,3,12000,3,For Sale
ارض سكنية في ولاية شناص,"Shinas, Al Batinah•",3,3,4000,600,For Sale
ارض سكنية في ولاية لوى,"Liwa, Al Batinah•",3,3,2000,600,For Sale
شقة انيقة و جميلة للبيع في العذيبة,"Azaiba, Muscat•",2,2,43000,86,For Sale
فيـلا للبيع الموقع : ف المعبيله الجنوبية بالقرب من الصناعيه,"Al Maabilah, Muscat•",3,4,87000,382,For Sale
↩ منزل للبيع عبارة عن أستراحة ↪,"Sumail, Al Dakhiliya•",2,3,42000,600,For Sale
للبيع استراحه راقيه في وادي المعاول,"Wadi Al Ma'awal, Al Batinah•",2,7,125000,2,For Sale
تخفيض المالك مستعجل للببع  منزل للبيع في حي النهضة بعبري,"Ibri, Al Dhahirah•",4,6,47000,690,For Sale
للبيع ارض سكني تجاري في نخل,"Nakhl, Al Batinah•",3,3,22000,400,For Sale
للبيع ارض سكنيه في الفليج,"Barka, Al Batinah•",3,3,9000,600,For Sale
ارض للبيع في عبري,"Ibri, Al Dhahirah•",3,3,4000,615,For Sale
للبيع شقة استوديو في الخوض,"Al Khoud, Muscat•",1,1,31000,64,For Sale
ارض للبيع في الفليج (بركاء),"Barka, Al Batinah•",3,3,19000,675,For Sale
ارض للبيع في السويق,"Suwaiq, Al Batinah•",3,3,5000,646,For Sale
للبيع ارض في الحاجر المرحلة الأولى,"Al Amarat, Muscat•",3,3,11000,600,For Sale
ارض سكنيه في العامرات الجفينه,"Al Amarat, Muscat•",3,3,23000,600,For Sale
للبيع ارض سكنيه في مرتفعات العامرات,"Al Amarat, Muscat•",3,3,33000,600,For Sale
للبيع ارض سكنيه في العامرات,"Al Amarat, Muscat•",3,3,35000,589,For Sale
ارض في بوشر للبيع الأنصب الثانيه,"Ansab, Muscat•",3,3,125000,600,For Sale
ارض تجاريه للبيع في الحافة صلاله,"Salalah, Dhofar•",3,3,75000,856,For Sale
مسقط يتي,"Yiti, Muscat•",3,3,15000,400,For Sale
1BHK APARTMENT IN ALSIFAH مشروع جبل السيفه يقع على الساحل الشمالي,"Al Sifah, Muscat•",1,2,7000,58,For Sale
زراعي +وحده سكنيه السوادي ولايه بركاء مساحه 2000 متر,"Barka, Al Batinah•",3,3,46000,2,For Sale
أرض لليبع في القريحة,"Barka, Al Batinah•",3,3,14000,600,For Sale
ارض للبيع في الفليج,"Barka, Al Batinah•",3,3,15000,737,For Sale
منزل جديد للبيع الموقع: الرايبه - خلف مسجد الصحابي الجليل صهيب بن سنان,"Ibri, Al Dhahirah•",3,3,39000,630,For Sale
للبيع ‏أرض زراعية * *ولاية عبري (سويدا الماء ),"Ibri, Al Dhahirah•",3,3,85000,47,For Sale
(( للبيع مبنى سكني تجاري )),"Mutrah, Muscat•",3,3,390000,598,For Sale
ارض سكنيه للبيع في الحويل صحم,"Saham, Al Batinah•",3,3,12000,400,For Sale
ارض للبيع في المرفع صحم,"Saham, Al Batinah•",3,3,1000,600,For Sale
للبيع ارض في الروضه صحم,"Saham, Al Batinah•",3,3,3000,618,For Sale
ارض للبيع في بطحاء الاشخر في صحم,"Saham, Al Batinah•",3,3,7000,630,For Sale
للبيع ارض في الفليج,"Saham, Al Batinah•",3,3,7000,750,For Sale
للبيع ثلاث أراضي شبك في الدهس بركاء,"Barka, Al Batinah•",3,3,27000,600,For Sale
للبيع ارض سكنيه في بركاء,"Barka, Al Batinah•",3,3,20000,645,For Sale
للبيع ارض سكنيه في بركاء,"Barka, Al Batinah•",3,3,16000,700,For Sale
للبيع أرض سكنيه  ولاية عبري  مخطط القرين,"Ibri, Al Dhahirah•",3,3,8000,750,For Sale
*للبيع أرض سكنيه *ولاية عبري,"Ibri, Al Dhahirah•",3,3,6000,750,For Sale
للبيع – أرض صناعية مميزة,"Ibri, Al Dhahirah•",3,3,20000,894,For Sale
لبيع أرض صناعية  في مخطط صناعية عبري,"Ibri, Al Dhahirah•",3,3,38000,1,For Sale
مزرعه واستراحهً للبيع او البدل,"Al Buraimi, Al Buraimi•",3,4,150000,4,For Sale
3BR Apt / Marina View – Marsa 1 | شقة ٣ غرف في مرسى ١ الموج,"The Wave (Almouj), Muscat•",3,4,299000,237,For Sale
منزل للبيع طابق واحد مهيا لنظام الطابقين في بركاء النعمان,"Barka, Al Batinah•",3,5,49000,600,For Sale
للبيع فيلا  راقيه بمواصفات وجودة عاليه في بركاء الحفري الساحل,"Barka, Al Batinah•",5,5,53000,708,For Sale
ارض للبيع في بركاء الفاغرة,"Barka, Al Batinah•",3,3,11000,611,For Sale
Smart Offices for sale in Muscat,"Ghala, Muscat•",3,3,136000,210,For Sale
للبيع ارض كورنر في الهبوبية,"Qurayyat, Muscat•",3,3,15000,760,For Sale
شقه للبيع في يتي قيد الإنشاء +تملك حر+إقامة مدى الحياه,"Yiti, Muscat•",1,1,79000,49,For Sale
ارض  سكني تجاري للايجار او الاستثمار  اول خط ع الشارع العام,"Al Rustaq, Al Batinah•",3,3,235000,1,For Sale
ارض للبيع في العامرات الثامنه,"Al Amarat, Muscat•",3,3,55000,700,For Sale
مزرعة فاخرة للبيع في صحار – فيلا قيد الإنشاء ومرافق مميزة!,"Sohar, Al Batinah•",6,6,320000,575,For Sale
ارض سكني تجاري فالعراقي فرصة لاتتعوض مكان مزدحم بالناس,"Al Rustaq, Al Batinah•",3,3,90000,243,For Sale
فيلا للبيع ف الموالح,"Al Mawaleh, Muscat•",7,7,93000,542,For Sale
1BHK APARTMENT شقة للايجار في غلا,"Ghala, Muscat•",1,2,25000,58,For Sale
أرض ف العامرات الجفينه,"Al Amarat, Muscat•",3,3,30000,600,For Sale
منزل للبيع في العامرات الخامسة قريبة من مركز صحي الخامسة,"Al Amarat, Muscat•",5,5,95000,360,For Sale
ارض للبيع في البر صور,"Sur, Al Sharqiya•",3,3,43000,662,For Sale
فررصة للاستثمار او البناء العامرات الامتداد الاول كونر,"Al Amarat, Muscat•",3,3,8000,627,For Sale
ارض سكنيه في الرميس,"Barka, Al Batinah•",3,3,15000,399,For Sale
ارض سكني تجاري,"Al 'Awabi, Al Batinah•",3,3,20000,373,For Sale
شارع البركات فرصه محلين مساحه 365مخزن وغرف عمال يشل الديكور,"Al Hail, Muscat•",3,3,8000,365,For Sale
للبيع أرض في طاقة في حي سكني,"Taqah, Dhofar•",3,3,12000,600,For Sale
أرض سكنيه كورنر في العامرات,"Al Amarat, Muscat•",3,3,15000,632,For Sale
للبيع أرض في طاقة,"Taqah, Dhofar•",3,3,8000,302,For Sale
للبيع ارض في طاقة,"Taqah, Dhofar•",3,3,13000,600,For Sale
سكني طاقة (( مربع ن ))),"Taqah, Dhofar•",3,3,13000,550,For Sale
للبيع ارض سكنية في البريمي الغريفة كورنر,"Al Buraimi, Al Buraimi•",3,3,9000,300,For Sale
ارض سكنيه للبيع في المعبيلة الجنوبية,"Al Maabilah, Muscat•",3,3,95000,1,For Sale
للبيع ارض سكنية في الاشخرة,"Ja'alan Bani Bu Ali, Al Sharqiya•",3,3,38000,900,For Sale
للبيع استراحة في بركاء ابو النخيل خلف حديقة النسيم,"Barka, Al Batinah•",3,3,188000,3,For Sale
ارض سكنية في البريمي الغريفة للبيع,"Al Buraimi, Al Buraimi•",3,3,5000,750,For Sale
للبيع ارض سكنية البريمي ارض جو ع شارع القار قريبة من الشارع المزدوج,"Al Buraimi, Al Buraimi•",3,3,7000,741,For Sale
ارض سكنية في البريمي العقدة,"Al Buraimi, Al Buraimi•",3,3,4000,634,For Sale
مزرعة للبيع في ولاية نزوى غاف الشيخ(مربع العين),"Nizwa, Al Dakhiliya•",3,3,130000,2,For Sale
فيلا للبيع ف العذيبه,"Azaiba, Muscat•",8,10,500000,1,For Sale
أرض سكنية للبيع بولاية قريات,"Qurayyat, Muscat•",3,3,15000,662,For Sale
أرض سكني تجاري ولاية قريات ( منطقة ضباب ),"Qurayyat, Muscat•",3,3,21000,500,For Sale
أرض سكنية للبيع ولاية قريات ( محياء ),"Qurayyat, Muscat•",3,3,8000,600,For Sale
فرصه للبيع ارض سكنيه في رميس الجنوبيه موقع جميل جدا مساحة 1200,"Barka, Al Batinah•",3,3,43000,1,For Sale
فلتين للبيع في بركاء,"Barka, Al Batinah•",4,5,52000,254,For Sale
أرض ف العقدة الشمالية بركاء,"Barka, Al Batinah•",3,3,14000,600,For Sale
ارض للبيع طاقه مربع س موقع جميل جدا مستوي خلف المركز,"Taqah, Dhofar•",3,3,7000,325,For Sale
ارض سكنية للبيع في البريمي العقدة (الغيضة),"Al Buraimi, Al Buraimi•",3,3,4000,874,For Sale
ارض للبيع في بركاء الرميس,"Barka, Al Batinah•",3,3,25000,600,For Sale
للبيع ارض سكنيه في العامرات سمكت,"Al Amarat, Muscat•",3,3,4000,600,For Sale
4 Bedrooms Villas For Sale in Oman,"Al Sinainah, Al Buraimi•",4,4,1000,1,For Sale
4 Bedrooms Villas For Sale,"Al Duqum, Al Wusta•",4,4,1000,1,For Sale
4 Bedrooms Villas For Sale in Oman,"Sumail, Al Dakhiliya•",4,4,1000,800,For Sale
4 Bedrooms Villas For Sale,"Al Sifah, Muscat•",4,4,1000,900,For Sale
4 Bedroom Villas For Sale,"Al Sifah, Muscat•",4,4,1000,1,For Sale
"Office For Rent - King Fahd Road, Al Riyadh","Mahut, Al Wusta•",1,2,600000,10,For Sale
1 Bedroom Apartment For Sale in Oman,"Al Duqum, Al Wusta•",1,2,11000,200,For Sale
Studio Commercial Building For Sale - Oman,"Al Duqum, Al Wusta•",3,3,456000,494,For Sale
Studio Commercial Building For Sale,"Al Duqum, Al Wusta•",3,3,790000,181,For Sale
4 Bedrooms Villas For Sale in Muscat,"Haima, Al Wusta•",4,4,1000,1,For Sale
4 Bedrooms Villas For Sale in Oman,"Al 'Awabi, Al Batinah•",4,4,1000,1,For Sale
ارض سكنيه الفليج الثانيه,"Barka, Al Batinah•",3,3,8000,600,For Sale
ارض للبيع في بركة الموز,"Nizwa, Al Dakhiliya•",3,3,24000,690,For Sale
urgently sale this shop 93838747,"Al Hail, Muscat•",3,3,1000,100,For Sale
معبيلة 4 مربع 12 قريب سوق سيارات,"Al Maabilah, Muscat•",4,6,75000,337,For Sale
شقه للبيع في المعبيله مؤجره بعائد ايجاري ممتاز 21500بدل23900,"Al Maabilah, Muscat•",2,3,21000,84,For Sale
ارض في تنوف,"Nizwa, Al Dakhiliya•",3,3,15000,600,For Sale
توين فيلا للبيع في منطقة فلج الشام بولاية بوشر,"Ansab, Muscat•",4,6,93000,270,For Sale
فرصتك لامتلاك شقة راقية في قلب الأنصب - بوشر!,"Bosher, Muscat•",3,3,64000,168,For Sale
سوبر كورنر,"Al Buraimi, Al Buraimi•",3,3,5000,664,For Sale
للبيع ارض سكنية بمرفا ولاية صحم,"Saham, Al Batinah•",3,3,8000,600,For Sale
ارض سكنيه كبيرة جدا,"Shinas, Al Batinah•",3,3,21000,2,For Sale
فرصة ذهبية - ارض سكنية في روي / ولاية مطرح,"Ruwi, Muscat•",3,3,68000,531,For Sale
للبيع ارض في القريحه ثانيه,"Barka, Al Batinah•",3,3,13000,787,For Sale
كونتينرات نظيفة جدا للبيع Containers i prime ccondition 4 sale,"Al Hail, Muscat•",3,3,1000,20,For Sale
ارض للبيع,"Barka, Al Batinah•",3,3,23000,600,For Sale
منزل للبيع توين بالخوض السادسة الأرض كورنر,"Al Khoud, Muscat•",5,5,130000,292,For Sale
للبيع ورشه صناعيه في بركاء مدينة سندان المتكاملة,"Barka, Al Batinah•",3,3,42000,60,For Sale
أرض سكنية للبيع في الخوض السادسة,"Al Khoud, Muscat•",3,3,78000,600,For Sale
ڤيلا في الخوير ٣٣ للبيع,"Al Khuwair, Muscat•",5,6,115000,400,For Sale
منزل للبيع في العامرات,"Al Amarat, Muscat•",3,3,65000,308,For Sale
wonderful house in khwair 33 near Said tymor mosq,"Al Khuwair, Muscat•",6,6,155000,420,For Sale
ارض فالسوق مخطط جزماء الجديده فريب الطريق العام الصخيبي,"Suwaiq, Al Batinah•",3,3,8000,600,For Sale
ارض للبيع بجزماء الحديثه,"Suwaiq, Al Batinah•",3,3,7000,600,For Sale
ارض للبيع,"Al Masn'a, Al Batinah•",3,3,46000,4,For Sale
auto parts shop for sale,"Al Maabilah, Muscat•",3,3,2000,35,For Sale
ارض سكنية مميزه في ولاية بركاء الفليج (المرحلة الثانيه),"Barka, Al Batinah•",3,3,15000,600,For Sale
2BHK furnished at Bousher,"Bosher, Muscat•",2,2,37000,122,For Sale
prime studio in Muscat Hills — freehold ownership،close to the airport,"Muscat Hills, Muscat•",1,1,45000,50,For Sale
مخطط سكني جديد | 69 قطعة أرض ، ولاية بركاء – حلبان / الرميس,"Barka, Al Batinah•",3,3,25000,600,For Sale
ارض للبيع بسعر مغري جدا,"Saham, Al Batinah•",3,3,3000,600,For Sale
منزل للبيع في ولايه صحم,"Saham, Al Batinah•",5,9,88000,426,For Sale
الحوقين حي الباطن,"Al Rustaq, Al Batinah•",3,3,7000,600,For Sale
منزل للبيع في مخطط حي الباطن الحوقين,"Al Rustaq, Al Batinah•",3,4,37000,224,For Sale
land for sale,"Al Masn'a, Al Batinah•",3,3,150000,5,For Sale
وادي عدي,"Al Wadi Al Kabir, Muscat•",3,3,30000,200,For Sale
ابحث عن مستثمر,"Izki, Al Dakhiliya•",2,3,30000,650,For Sale
مزرعة بسعر مغري في المصنعه استغل الفرصه,"Al Masn'a, Al Batinah•",3,3,22000,4,For Sale
ارض سكنية في الكحل الجازر,"Al Jazur, Al Wusta•",3,3,2000,1,For Sale
ارض سكنية في الموالح,"Al Mawaleh, Muscat•",3,3,135000,600,For Sale
(بناية ٦ شقق + مبنى شقق منفصلة ) للبيع من المالك ،ارض واحدة ع الشارع ،,"Al Rustaq, Al Batinah•",3,3,89000,783,For Sale
ارض سكنيه بوشر الانصب قريب لولو,"Ansab, Muscat•",3,3,65000,300,For Sale
ارخص ارض في الدسر1 على شارع قار,"Sumail, Al Dakhiliya•",3,3,9000,600,For Sale
أرص للبيع في ولاية ابراء الفليج داخل قريبه من قرية,"Ibra, Al Sharqiya•",3,3,2000,600,For Sale
شقه مفروشه للبيع,"Al Maabilah, Muscat•",2,3,24000,200,For Sale
ارض سكنيه سور آل حديد,"Al Seeb, Muscat•",3,3,36000,482,For Sale
ارض للبيع,"Saham, Al Batinah•",3,3,10000,600,For Sale
حي عاصم للبيع ارض جنب مخطط الماسه حي عاصم بركاء,"Barka, Al Batinah•",3,3,24000,630,For Sale
أرض للبيع,"Al Rustaq, Al Batinah•",3,3,4000,604,For Sale
ارض سكنية للبيع في ولاية قريات السليل,"Qurayyat, Muscat•",3,3,5000,700,For Sale
ارض سكنيه الخوض حي الكوثر موقع نادر,"Al Khoud, Muscat•",3,3,120000,600,For Sale
منزل + أرض زراعيه,"Barka, Al Batinah•",3,3,70000,2,For Sale
for sale: Indian medical clinic physical therapy and herbal sales,"Qurum, Muscat•",3,3,18000,600,For Sale
للبيع أرض فرصة ومميزة قرب الجامعة الالمانية والكليات المعبيلة,"Al Maabilah, Muscat•",3,3,41000,700,For Sale
شقة في الحيل الشماليه بمجمع شادن الحيل,"Al Hail, Muscat•",3,2,50000,140,For Sale
للإستثمار  أرض سكنية بالجبل الأخضر,"Nizwa, Al Dakhiliya•",3,3,250000,500,For Sale
ارض زراعيه للبيع,"Al Mudaibi, Al Sharqiya•",3,3,48000,15,For Sale
للبيع شقة مستقلة بالعامرات ١  مع حوش كبير خاص بالشقة وبها خرائط جاهزة,"Al Amarat, Muscat•",2,2,35000,200,For Sale
للبيع ارض صناعية بالعامرات العتكية بموقع متميز,"Al Amarat, Muscat•",3,3,220000,2,For Sale
تم تخفيض السعر أرض للبيع في شمال الرميس بالقرب من الخط الباطنة الساحلي,"Barka, Al Batinah•",3,3,22000,598,For Sale
ارض سكني/تجاري ف الرسيل,"Al Rusayl, Muscat•",3,3,1000,6,For Sale
مزرعة وبها استراحة للبيع في السويق النبرة مساحة 14 الف متر,"Suwaiq, Al Batinah•",2,3,155000,200,For Sale
اراضي ف صحم ( مرتفعات الفليج),"Saham, Al Batinah•",3,3,6000,600,For Sale
شقق للبيع في بوشر تملك من المطور مباشرة,"Bosher, Muscat•",2,3,38000,90,For Sale
أرض موقع جميل جدا بالواسط 9,"Wadi Al Ma'awal, Al Batinah•",3,3,9000,602,For Sale
للبيع أرض من المالك مباشرة 94806115,"Qurayyat, Muscat•",3,3,23000,606,For Sale
من المالك شقة للبيع في المعبيلة الجنوبية قريبة من الشارع السريع,"Al Maabilah, Muscat•",3,3,25000,129,For Sale
1 bedroom freehold apartment for sale in duqm,"Al Duqum, Al Wusta•",1,1,23000,35,For Sale
‏أرض سكني للبيع في المنئ,"Bosher, Muscat•",3,3,380000,1,For Sale
حي النور ولايه العوابي,"Al 'Awabi, Al Batinah•",3,3,12000,500,For Sale
Luxurious 2bhk flats for sale in Ruwi mumtaz area,"Al Amarat, Muscat•",2,3,45000,108,For Sale
بركاء النعمان,"Barka, Al Batinah•",3,5,60000,600,For Sale
فيلا فرصة في ارقى مجمعات مسقط,"Al Seeb, Muscat•",4,6,68000,300,For Sale
ارض للبيع,"Barka, Al Batinah•",3,3,28000,600,For Sale
ارض في لزغ,"Sumail, Al Dakhiliya•",3,3,30000,900,For Sale
منزل في ولايه الحمراء وموقع قريب من الخدمات,"Hamra, Al Dakhiliya•",2,3,45000,145,For Sale
فلة  للبيع في سمايل لزغ,"Sumail, Al Dakhiliya•",4,6,60000,400,For Sale
3 اراضي صناعيه جاهزه للاستثمار او للبيع وجنبها مصانع كل الخدمات متوفره,"Misfah, Muscat•",3,3,320000,6,For Sale
شقة 1BHK للبيع في ريزيدنس المزْن,"Al Mawaleh, Muscat•",1,1,39000,77,For Sale
ارض للبيع قريب الشارع العام,"Barka, Al Batinah•",3,3,13000,606,For Sale
أرض للبيع في ابراء معترض ٦,"Ibra, Al Sharqiya•",3,3,3000,800,For Sale
للبيع ڤيلا راقية فالعامرات,"Al Amarat, Muscat•",7,7,70000,416,For Sale
المعبيلة الجنوبيه قبل اشارات المرور شارع المسرات,"Al Maabilah, Muscat•",8,11,200000,541,For Sale
أرض سكنية تجارية,"Al Buraimi, Al Buraimi•",3,3,25000,390,For Sale
ارضين شبك للبيع في حي عاصم Land’s for sale at Hai Asim,"Barka, Al Batinah•",3,3,40000,1,For Sale
apartment for sale in alhail north,"Al Hail, Muscat•",2,2,42000,96,For Sale
مبنى تجاري للبيع,"Al Duqum, Al Wusta•",3,3,250000,530,For Sale
*فيلا فخمه وراقيه جدا مع مصعد *,"Bosher, Muscat•",9,9,170000,700,For Sale
commercial land for sell ارض سكني تجاري للبيع,"Al Amarat, Muscat•",3,3,203000,1,For Sale
سكنية الحرادي بركاء على شوارع مرصوفة مع جميع الخدمات,"Barka, Al Batinah•",3,3,17000,620,For Sale
للبيع,"Al Amarat, Muscat•",3,3,20000,612,For Sale
توين فيلا منفصلات للبيع -الخوض السابعة قرب مسجد جل جلاله,"Al Khoud, Muscat•",5,7,135000,380,For Sale
ارض زراعيه مع وجود تصريح وحده سكنيه,"Bidbid, Al Dakhiliya•",3,3,50000,17,For Sale
ارض زراعيه بدون بدون بئر,"Bidbid, Al Dakhiliya•",3,3,16000,2,For Sale
فرصة ارض للبيع,"Saham, Al Batinah•",3,3,35000,2,For Sale
الدقم منطقة صاي,"Al Duqum, Al Wusta•",3,3,65000,600,For Sale
مطلوب أرض في العامرات الحاجر الأولى ،حيم,"Al Amarat, Muscat•",3,3,1000,600,For Sale
للبيع شقتين مع ارض معبض في العامرات جفينه خلف مركز شرطه,"Al Amarat, Muscat•",6,4,73000,600,For Sale
أنا مالك / ارض للبيع في رستاق حي الباطن,"Al Rustaq, Al Batinah•",3,3,13000,600,For Sale
انا المالك / للبيع ارض سكنية كورنر في العامرات / سمكت,"Al Amarat, Muscat•",3,3,5000,600,For Sale
الفليج المعموره,"Barka, Al Batinah•",3,3,14000,600,For Sale
juice and ice cream shop Urgent sale,"Al Khoud, Muscat•",3,3,3000,24,For Sale
villa for sale north al hail sae side,"Al Hail, Muscat•",5,5,125000,300,For Sale
فرصة ذهبية نادرة فلة طابق أرضي وشقق اثنتين للبيع,"Al Amarat, Muscat•",3,3,110000,450,For Sale
منزل للبيع السويق,"Suwaiq, Al Batinah•",3,5,36000,600,For Sale
I want to sale this restaurant urgent sale,"Azaiba, Muscat•",3,3,10000,20,For Sale
ارض للبيع سكني تجاري كورنر في  العامرات ١ مباشر من المالك,"Al Amarat, Muscat•",3,3,100000,400,For Sale
منزل حديث للبيع في بركاء - الشخاخيط,"Barka, Al Batinah•",2,3,53000,260,For Sale
تملك شقة سوبر لوكس في قلب المعبيلة الجنوبية بعائد استثماري 10%,"Al Maabilah, Muscat•",2,2,28000,94,For Sale
5 BHK villa for sale in Al-Gubara south near Millennium hyper market,"Al Ghubrah, Muscat•",5,6,110000,271,For Sale
شقة العامرات السادسة جنب البريد,"Al Amarat, Muscat•",2,2,17000,85,For Sale
للبيع منزل العامرات ٣/٥,"Al Amarat, Muscat•",3,3,70000,600,For Sale
Freehold Hawana Salalah suite for sale (Ground floor with garden),"Salalah, Dhofar•",2,1,82000,81,For Sale
مزرعة للبيع قريات ضباب,"Qurayyat, Muscat•",3,3,40000,2,For Sale
السيب - الشرادي,"Al Seeb, Muscat•",5,5,50000,550,For Sale
good price,"Muscat Hills, Muscat•",1,2,59000,71,For Sale
للبيع مصنع غذائي مؤجر فرصه أستثمارية جاهزه بدخل شهري ٢٥٠٠ ريال,"Sohar, Al Batinah•",3,3,220000,410,For Sale
ارض للبيع في الخظراء العريق,"Suwaiq, Al Batinah•",3,3,10000,600,For Sale
ارض للبيع,"Wadi Al Ma'awal, Al Batinah•",3,3,12000,613,For Sale
منزل للبيع في الجفنين الخرس بقرب من المدارس والخدمات ومحطه المها,"Al Rusayl, Muscat•",3,3,150000,1,For Sale
محل للبيع-بوشر (شارع المها) بعائد 7%,"Bosher, Muscat•",3,3,66000,49,For Sale
الفيلا راقية مرتفعات العامرات الثانية,"Al Amarat, Muscat•",4,5,73000,316,For Sale
Commercial Building For sale,"Al Amarat, Muscat•",3,3,103000,400,For Sale
أرض سكنية ولايه السيب حلة النصر,"Al Maabilah, Muscat•",3,3,60000,600,For Sale
فرصه استثماريه أرض زراعية في ولاية صلالة بمنطقة البليد,"Salalah, Dhofar•",3,3,130000,11,For Sale
restaurant for sale مطعم لي البيع,"Al Khuwair, Muscat•",3,3,10000,200,For Sale
فيلا للبيع في الهرم جنوب,"Barka, Al Batinah•",5,5,56000,300,For Sale
أرض سكنية في لزغ ٧ أفضل منطقة للسكن,"Sumail, Al Dakhiliya•",3,3,20000,600,For Sale
ثلاث قطع شبك في مخطط الغّبي ٢,"Bidiya, Al Sharqiya•",3,3,15000,1,For Sale
RESTAURANT FOR SALE,"Adam, Al Dakhiliya•",3,3,5000,14,For Sale
A Villa  for sale in Aida Oceana. Best Buy,"Yiti, Muscat•",3,3,167000,125,For Sale
ارض سكني تجاري للبيع,"Al Amarat, Muscat•",3,3,90000,200,For Sale
ارض سكنية الرميس مساحة 1200متر قريب الشارع العام,"Barka, Al Batinah•",3,3,62000,1,For Sale
shop for sale bazaar sohar,"Sohar, Al Batinah•",3,3,40000,26,For Sale
فيلا بمجمع سكني بمنطقة الموالح الجنوبية,"Al Mawaleh, Muscat•",5,5,95000,310,For Sale
فرصة قوية للبيع فلل في السعادة موقع مميز جداً,"Salalah, Dhofar•",4,5,72000,272,For Sale
منزل للبيع في بركا على الشارع الصومحان جنوب,"Barka, Al Batinah•",5,7,68000,600,For Sale
7 BR Beautiful Villa Boushar with elevator,"Bosher, Muscat•",7,7,250000,460,For Sale
أرض سكنية للبيع ٦٠٠متر مربع في بركاء,"Barka, Al Batinah•",3,3,6000,600,For Sale
ارض سكنية ف بركاء,"Barka, Al Batinah•",3,3,10000,766,For Sale
أرخص أرض ف الموالح الجنوبية,"Al Mawaleh, Muscat•",3,3,90000,600,For Sale
بركاء الصومحان الجنوبيه,"Barka, Al Batinah•",3,3,24000,630,For Sale
بركاء المريغات,"Barka, Al Batinah•",3,3,66000,185,For Sale
أرض للبيع في حي الشاطئ,"Qurayyat, Muscat•",3,3,9000,633,For Sale
أرض في أبو عبالي الساحل بولاية المصنعة في موقع مميز ( فرصة),"Al Masn'a, Al Batinah•",3,3,11000,600,For Sale
للبيع سكني,"Barka, Al Batinah•",3,3,14000,600,For Sale
منزل للبيع مسقط حيل جنوبية العوامر ارض مساحة ٦٩٠,"Al Hail, Muscat•",6,5,145000,692,For Sale
أرض سكني  للبيع من مالك المباشر موقع ممتاز خلف كيدز مول بركاء,"Barka, Al Batinah•",3,3,23000,660,For Sale
محل بيع التبغ والفحم,"Sohar, Al Batinah•",3,3,2000,40,For Sale
يوجد لدينا شقق للبيع في منتجعات (ميلينوم -هوانا -وفي جميع صلالة),"Salalah, Dhofar•",2,2,20000,100,For Sale
الأرض للبيع في عامرات مدينة نهضة مربع ١٢,"Al Amarat, Muscat•",3,3,18000,600,For Sale
ارض سكني في فلج سوق للبيع,"Sohar, Al Batinah•",3,3,8000,600,For Sale
للبيع سكني تجاري في صلان على الخط الساحلي,"Sohar, Al Batinah•",3,3,40000,584,For Sale
5+1 Villa in Al Mahaj Al Amirat - New Price reduced,"Al Amarat, Muscat•",5,8,83000,401,For Sale
فرصة ذهبية - فيلا في الخوض السابعة (من أصل توين فيلا),"Al Khoud, Muscat•",5,6,100000,300,For Sale
