property_name,prop_location,number_of_rooms,prop_bathrooms,sale_price OMR,prop_area SqM,Ad_Type
Exclusive 2 BHK Marina View | شقة راقية في يتي - Sustainable City Yiti,"Yiti, Muscat•",2,3,166000,121,For Sale
Villa with 4 Bedrooms for Sale- فيلا بأربع غرف للبيع,"Yiti, Muscat•",4,5,517000,560,For Sale
Villa for Sale in Muscat- فيلا للبيع في مسقط,"Yiti, Muscat•",4,5,474000,500,For Sale
Golf View | Pool View 1 BHK Aida Greate Escape2 | 40 Month Installment,"Yiti, Muscat•",1,2,89000,56,For Sale
BOOK NOW Apartments in (SULTAN HAITHAM CITY) with 5 Years Payment Plan,"Al Maabilah, Muscat•",1,1,53000,67,For Sale
فيلا للبيع، مدينة السلطان هيثم Villa in Sultan Haitham City,"Al Seeb, Muscat•",5,5,227000,412,For Sale
1 BHK FreeHold Appartment uptow 15% down payment 44 Month Installment,"Al Seeb, Muscat•",1,1,72000,102,For Sale
شقة دوبلكس جديدة كليًا في العذيبة – موقع مميز  FSA83,"Azaiba, Muscat•",2,3,58000,103,For Sale
FREE HOLD!! Own your Town House at Wadi Zaha in Sultan Haitham City,"Sultan Haitham City, Muscat•",3,5,176000,220,For Sale
Fully Furnished 2BHK Apartment For Sale in Lagoon – Al Mouj FSA56,"The Wave (Almouj), Muscat•",2,2,137000,126,For Sale
Free Hold!! 95 sqm 1-Bedroom apartment for sale in Muscat Hills FSA45,"Muscat Hills, Muscat•",1,2,63000,95,For Sale
FREE HOLD!! Own a Studio at Yenaier in Sultan Haitham City,"Sultan Haitham City, Muscat•",3,1,46000,75,For Sale
Amazing 2BHK Corner Flat For Sale  in Muscat Hills FSA12,"Muscat Hills, Muscat•",2,3,76000,118,For Sale
Free Hold!! Own Your Fully Managed Holiday Home in AIDA,"Yiti, Muscat•",3,3,260000,125,For Sale
FREE HOLD!! Book your 2BHK apartment now in Wadi Zaha - SHC,"Sultan Haitham City, Muscat•",2,3,70000,110,For Sale
"1BHK Apartment FOR SALE in The BLV Tower, Muscat Hills","Muscat Hills, Muscat•",1,1,63000,100,For Sale
Reduced Price!!! 2BHK Apartment with Pool View in Muscat Hills FSA43,"Muscat Hills, Muscat•",2,2,70000,100,For Sale
شقة للبيع في بناية شمس بوشر-Apartment for Sale (Shams Bousher Building,"Bosher, Muscat•",2,2,52000,112,For Sale
"For Sale – One-Bedroom Apartment in Marsa Garden, Al Mouj Muscat","The Wave (Almouj), Muscat•",1,1,110000,95,For Sale
"تملك على البحر من 83,000 ريال (تملك حر) Own by the Beach","The Wave (Almouj), Muscat•",1,1,83000,70,For Sale
For Sale: Prime Land in Ghala,"Ghala, Muscat•",3,3,3000,16,For Sale
Distress Sale Freehold 1 BHK with Residence Visa in Duqum for Just 22K,"Al Duqum, Al Wusta•",1,2,24000,40,For Sale
توين فيلا للبيع في حي الكوثر الخوض,"Al Khoud, Muscat•",6,7,118000,300,For Sale
منزل للبيع في المعبيلة الجنوبية حي العز,"Al Maabilah, Muscat•",4,4,68000,226,For Sale
Amazing 2+1BHK FOR SALE in AL Mouj – Luban FSA24,"The Wave (Almouj), Muscat•",2,2,120000,127,For Sale
Twin Villa for Sale Soor Al Hadid,"Al Seeb, Muscat•",5,7,87000,378,For Sale
Rare Opportunity – Marina View Apartment in Al Mouj at a Great Price,"The Wave (Almouj), Muscat•",2,2,230000,157,For Sale
شقة مؤثثة بالكامل للبيع بتصميم عصري VIP في المعبيلة 5 / 1 خلف عرب سويت,"Al Maabilah, Muscat•",2,2,30000,101,For Sale
شقة مؤثثة جزئيًا للبيع في المعبيلة قريب المدرسة الهندية على شارع النور,"Al Maabilah, Muscat•",3,3,36000,126,For Sale
منزل للبيع في المعبيلة الصناعية في حي العز خلف جامع السلطان تيمور,"Al Maabilah, Muscat•",2,3,55000,531,For Sale
