property_name,sale_price,prop_location,prop_area,prop_bathrooms,number_of_rooms
Villa For Sale فيلا راقية للبيع,"OMR 140,000","Barka, Al Batinah•","1,818 SQM",6,4
Villa for Saleفيلا للبيع,"OMR 70,000","Al Maabilah, Muscat•",355 SQM,5,7
Premium 1 BHK Apartment with Big Balcony for Sale in Hay Alwafa,"OMR 61,930","Sultan Haitham City, Muscat•",77.92 SQM,2,1
Easy Payment Plan | Modern 2BHK Apartment in Telal Al Qurum | Freehold,"OMR 65,939","Qurum, Muscat•",89 SQM,2,2
Deattached Villa | Payment Plan | Prime Location | Aida Oceana,"OMR 491,410","Yiti, Muscat•",315.68 SQM,5,4
Opulent Attached Villa | Flexible Payment Plan | Aida Oceana,"OMR 311,000","Yiti, Muscat•",158.9 SQM,4,3
RUWI | 2 FLOOR BUILDING IN MUMTAZ AREA FOR SALE,"OMR 240,000","Ruwi, Muscat•",950 SQM,not mentioned,not mentioned
RUWI | 2 FLOOR BUILDING IN MUMTAZ AREA FOR SALE,"OMR 240,000","Ruwi, Muscat•",950 SQM,not mentioned,not mentioned
WADI KABIR | WAREHOUSE/ LAND FOR SALE,"OMR 870,000","Al Wadi Al Kabir, Muscat•","3,738 SQM",not mentioned,not mentioned
WADI KABIR | WAREHOUSE FOR SALE,"OMR 870,000","Al Wadi Al Kabir, Muscat•","3,738 SQM",not mentioned,not mentioned
WADI KABIR | WAREHOUSE FOR SALE,"OMR 870,000","Al Wadi Al Kabir, Muscat•","3,728 SQM",not mentioned,not mentioned
RUWI | 2 FLOOR BUILDING IN MUMTAZ AREA,"OMR 240,000","Ruwi, Muscat•",950 SQM,not mentioned,not mentioned
1 BR Furnished Stunning Apartment – Al Mouj,"OMR 108,000","The Wave (Almouj), Muscat•",87 SQM,1,1
SR- HL- 146 Villa for Sale in Azaiba – Inside a Compound,"OMR 120,000","Azaiba, Muscat•",370 SQM,7,6
5 BR Spacious Villa in Mabaila South – Excellent Location,"OMR 165,000","Al Maabilah, Muscat•",660 SQM,6,5
امتلك محلًا تجاريًا راقيًا | مسقط هيلز | تملّك حرّلجميع الجنسيات |,"OMR 39,000","Muscat Hills, Muscat•",17 SQM,not mentioned,not mentioned
شقة غرفتین نوم | تقسیط | قید الانشاء | استثمار مربح | الموالح,"OMR 36,000","Al Mawaleh, Muscat•",96 SQM,3,2
شقة فاخرة للبیع | 1 غرفة نوم | عرض ذهبی | تقسیط | استثمار ذهبی,"OMR 29,000","Al Mawaleh, Muscat•",78 SQM,2,1
شقة فاخرة قيد الإنشاء | الموالح – السيب | تقسیط | 1 غرفة نوم,"OMR 25,000","Al Mawaleh, Muscat•",61 SQM,2,1
شقه قید الانشا للبیع | الموالح | تقسیط | سعر مناسب,"OMR 26,000","Al Mawaleh, Muscat•",64 SQM,2,1
تملک محلک التجاري | موالح 11 | استثمار مربح | اسعار تنافسیة,"OMR 33,000","Al Mawaleh, Muscat•",30 SQM,not mentioned,not mentioned
Exclusive Real Estate /Mouj Muscat | 2-Br| Lagoon Viewشقه للبیع تقسیط,"OMR 150,000","The Wave (Almouj), Muscat•",119 SQM,2,2
For Sale Land in Very Prime Location In Al Azaiba Beach Front,"OMR 7,750,000","Azaiba, Muscat•","10,315 SQM",not mentioned,not mentioned
Amazing Furnished Studio for Sale in Hawana Salalah – FSA82,"OMR 45,000","Salalah, Dhofar•",40 SQM,3,1
6 BR + Maid Room fantastic stand alone villa in QURUM for SALE,"OMR 450,000","Qurum, Muscat•","1,459 SQM",6,6
شقة فاخرة بغرفتين للبيع في جبل سيفة – إطلالة ساحرة وفرصة استثمارية,"OMR 82,000","Al Sifah, Muscat•",110 SQM,2,2
Modern Villa for Sale in Sultan Haitham City,"OMR 227,100","Sultan Haitham City, Muscat•",400 SQM,5,5
Townhouse for Sale - تاون هاوس للبيع,"OMR 184,550.63","Sultan Haitham City, Muscat•",120 SQM,5,3
Villa for Sale with Garden - فيلا للبيع,"OMR 161,295.75","Sultan Haitham City, Muscat•",120 SQM,5,3
Villa for Sale - فيلا للبيع,"OMR 160,491.24","Sultan Haitham City, Muscat•",120 SQM,5,3
Pent house for Sale with Pool,"OMR 158,186.08","Sultan Haitham City, Muscat•",120 SQM,5,3
Apartment for Sale in Wadi Zaha - شقة للبيع,"OMR 114,137.1","Sultan Haitham City, Muscat•",110 SQM,5,3
Apartment for Sale in Wadi Zaha - شقة للبيع,"OMR 109,079.81","Sultan Haitham City, Muscat•",110 SQM,5,3
Apartment for Sale in Wadi Zaha - شقة للبيع,"OMR 86,088.48","Sultan Haitham City, Muscat•",90 SQM,3,2
1 BHK flat for sale in Al Khuwair (Jasmine Complex ),"OMR 46,000","Al Khuwair, Muscat•",86 SQM,2,1
Apartment for Sale in Wadi Zaha - شقة للبيع,"OMR 82,948.32","Sultan Haitham City, Muscat•",90 SQM,3,2
3 BR AMAZING TOWNHOUSE IN ALMOUJ REEHAN RESIDENCES,"OMR 320,000","The Wave (Almouj), Muscat•",265 SQM,3,3
3 Br LOVELY TOWNHOUSE in AL MOUJ FOR SALE,"OMR 190,000","The Wave (Almouj), Muscat•",168 SQM,3,3
Apartment for Sale in Wadi Zaha - شقة للبيع,"OMR 81,375.84","Sultan Haitham City, Muscat•",70 SQM,3,2
Apartment for Sale in Wadi Zaha - شقة للبيع,"OMR 63,661.9","Sultan Haitham City, Muscat•",70 SQM,2,1
Apartment for Sale in Wadi Zaha - شقة للبيع,"OMR 61,799.06","Sultan Haitham City, Muscat•",70 SQM,2,1
Apartment for Sale in Wadi Zaha - شقة للبيع,"OMR 58,151.28","Sultan Haitham City, Muscat•",70 SQM,2,1
"For Sale Free Hold (1 & 2 & 3 Bhk) in Marsa District, Al Mouj Muscat","OMR 78,000","The Wave (Almouj), Muscat•",70 SQM,2,1
"Apartment for Sale in Muscat Hills, Off Plan, Prime Location","OMR 24,000","Muscat Hills, Muscat•",145 SQM,3,2
"Villa For Sale in Muscat Hills, 6 Bedrooms, Golf View, ITC","OMR 499,000","Muscat Hills, Muscat•","1,350 SQM",6,5
For Sale: Free Hold studios apartment at Opal Residence,"OMR 46,000","Muscat Hills, Muscat•",49 SQM,1,1
GHALA | 2738 SQM RESIDENTIAL/ COMMERCIAL LAND FOR SALE,"OMR 785,000","Ghala, Muscat•","2,738 SQM",not mentioned,not mentioned
عرض لایقاوم | محل تجاری للبیع | موقع استراتيجي | عائد استثماری مضمون,"OMR 47,000","Al Mawaleh, Muscat•",47 SQM,not mentioned,not mentioned
luxury villa | 5-BR | pool | free hold | mouj muscat,"OMR 517,000","The Wave (Almouj), Muscat•",540 SQM,6,5
أزورا بيتش – شقة 1BR بإطلالة مباشرة على المرسى,"OMR 119,000","The Wave (Almouj), Muscat•",83 SQM,1,1
2 BR Furnished Apartment Overlooking the Pool & Garden | Al Mouj,"OMR 140,000","The Wave (Almouj), Muscat•",150 SQM,2,2
6 BR Spacious Furnished Commercial Villa with Amenities Nearby in Seeb,"OMR 125,000","Al Seeb, Muscat•",363 SQM,6,6
173 SQM Freehold Ground Floor Shop – Muscat Hills,"OMR 311,400","Muscat Hills, Muscat•",173 SQM,not mentioned,not mentioned
1 BR Furnished Apartment with Balcony – Marriott Residences AIDA,"OMR 184,350","Yiti, Muscat•",96.82 SQM,2,1
"1 BR Impressive Townhouse in Hawana Salalah Resort, Forrest Island","OMR 65,000","Salalah, Dhofar•",78 SQM,2,1
3 BR Offplan Apartment in Bousher,"OMR 80,495","Bosher, Muscat•",137 SQM,3,3
2 BR Freehold Apartment with Shared Pool & Gym – Muscat Hills,"OMR 75,000","Muscat Hills, Muscat•",80 SQM,2,2
FREEHOLD 247 SQM Office Space Located in Muscat Hills for SALE!,"OMR 245,500","Muscat Hills, Muscat•",247 SQM,not mentioned,not mentioned
FREEHOLD 109 SQM Office Space Available in Muscat Hills for SALE!,"OMR 125,000","Muscat Hills, Muscat•",108.73 SQM,not mentioned,not mentioned
Beautiful 1 Bed Loft in Uptown Muscat with Swimming pool.,"OMR 43,500","Muscat - Other, Muscat•",42 SQM,1,1
6 Bedroom Villa For Sale In Almouj Muscat,"OMR 1,600,000","The Wave (Almouj), Muscat•",900 SQM,10,6
1BR Marina View – Azura Beach | 83m² | OMR 119K | 10% Down Payment,"OMR 119,000","The Wave (Almouj), Muscat•",83 SQM,1,1
Stylish 1BR in Azura Beach – Urban View | 83m² | OMR 107K | 10% DP,"OMR 107,000","The Wave (Almouj), Muscat•",83 SQM,1,1
1BR Marina View | Azura Beach – Al Mouj | OMR 115K | Flexible Payment,"OMR 115,000","The Wave (Almouj), Muscat•",83 SQM,1,1
Villa for Sale  in Sultah Haitham City,"OMR 178,000","Al Maabilah, Muscat•",249 SQM,5,5
Villa for Sale with 3 Bedrooms in Sultan Haitham City,"OMR 169,000","Al Maabilah, Muscat•",210 SQM,3,3
Apartment for Sale with 3 Bedrooms in Muscat Bay,"OMR 187,500","Qantab, Muscat•",171 SQM,4,3
Apartment for Sale with 3 Bedrooms in Muscat Bay,"OMR 187,500","Qantab, Muscat•",175 SQM,4,3
Apartment for Sale with 3 Bedrooms in Muscat Bay,"OMR 178,500","Qantab, Muscat•",170 SQM,4,3
Apartment for Sale in Muscat Bay with 3 Bedroom,"OMR 185,000","Qantab, Muscat•",165 SQM,4,3
Villa for Sale in Jabal Sifa with 2 Bedrooms,"OMR 162,732","Al Sifah, Muscat•",175 SQM,3,2
Villa for Sale with 2 Bedrooms in Jabal Al Sifa,"OMR 162,732","Al Sifah, Muscat•",157 SQM,3,2
ready to move in for 2+1 apartment in Muscat Bay,"OMR 200,000","Qantab, Muscat•",200 SQM,3,2
Apartment for Sale with 2 Bedrooms,"OMR 133,000","Qantab, Muscat•",133 SQM,3,2
Apartment for Sale with 2 Bedrooms in Muscat Bay,"OMR 135,000","Qantab, Muscat•",133 SQM,3,2
Studio for Sale in Sultan Hatiham City,"OMR 46,650","Al Maabilah, Muscat•",71 SQM,1,Studio
Apartment for Sale in Jabal Al Sifa with 2 BHK,"OMR 96,491","Al Sifah, Muscat•",85.3 SQM,2,2
Villa for Sale in Jabal Al Sifa with 4 Bedrooms,"OMR 183,492","Al Sifah, Muscat•",183 SQM,4,3
Apartment for sale 2BHK in sultan Haitham City,"OMR 98,568","Al Maabilah, Muscat•",157 SQM,2,2
6 bedroom villa for sale in Almouj Muscat,"OMR 725,000","The Wave (Almouj), Muscat•",606 SQM,7,6
3 bedroom Challet for Sale in Jebel Sifa,"OMR 183,492","Yiti, Muscat•",183 SQM,4,3
three bedroom apartment for sale in sultan haitham city,"OMR 120,987","Al Maabilah, Muscat•",193 SQM,3,3
1 bedroom Apartment for Sale in Sultan Haitham City,"OMR 59,296","Al Maabilah, Muscat•",95 SQM,1,1
للبيع أرض سكنية – موقع مميز بالخوض السادسة,"OMR 95,000","Al Khoud, Muscat•",600 SQM,not mentioned,not mentioned
أرض س ت كورنر مفتوحة من أربع جهات – موقع نادر في محمد الأمين بوشر,"OMR 600,000","Bosher, Muscat•","1,000 SQM",not mentioned,not mentioned
"1BR Marina View | Azura Beach – Al Mouj | 83m² | OMR 111,000 | 10% DP","OMR 111,000","The Wave (Almouj), Muscat•",83 SQM,1,1
"1BR | Urban View – Azura Beach, Al Mouj | OMR 112K | 10% DP Only","OMR 112,000","The Wave (Almouj), Muscat•",83 SQM,1,1
Villa for Saleفيلا للبيع,"OMR 49,000","Barka, Al Batinah•",345 SQM,4,3
شقة للبيع في بناية ذا لينكس في مسقط هيلز- Apartment for Sale the links,"OMR 72,000","Muscat Hills, Muscat•",108 SQM,3,2
For Sale 4 Bhk In Al Azaiba للبيع فيلا ٤ غرف نوم في العذيبة,"OMR 135,000","Azaiba, Muscat•",284 SQM,6,4
6 BR + Guard’s Room Spacious Villa in Mawaleh – Near Al Sahwa Gardens,"OMR 140,000","Al Mawaleh, Muscat•",600 SQM,7,6
2 BR + Maid’s Room Stunning Apartment – Muscat Bay with Amenities,"OMR 220,000","Qantab, Muscat•",199 SQM,3,2
5 BR Fantastic Villa – Al Khoudh Phase 6 with Nearby Amenities,"OMR 90,000","Al Khoud, Muscat•",293 SQM,5,5
"2 BR Luxury Apartment – The Great Escape, AIDA by DarGlobal","OMR 136,267.11","Yiti, Muscat•",93 SQM,2,2
"1 BR Luxury Apartment – The Great Escape, AIDA by DarGlobal","OMR 95,451.26","Yiti, Muscat•",68 SQM,2,1
79 SQM Freehold Office in Muscat Hills – Prime Location,"OMR 91,000","Muscat Hills, Muscat•",79 SQM,not mentioned,not mentioned
2 BR Great Freehold Apartment with a balcony - Sultan Haitham City,"OMR 80,835","Al Maabilah, Muscat•",132 SQM,2,2
2 BR Excellent Penthouse Apartment in Sultan Haitham City with Private,"OMR 110,500","Al Maabilah, Muscat•",170 SQM,3,2
3 BR + Maid’s room Freehold Offplan Apartment in Sohar,"OMR 65,044","Sohar, Al Batinah•",135.66 SQM,4,3
Studio Apartment in Sultan Haitham City,"OMR 37,200","Al Maabilah, Muscat•",50 SQM,1,1
3 BR Off Plan Apartment in Ghala,"OMR 66,988","Ghala, Muscat•",167.47 SQM,3,3
2 BR Off Plan Modern Apartment in Ghala,"OMR 50,284","Ghala, Muscat•",125.71 SQM,2,2
3 + 1 BR Freehold Apartment in Sultan Haitham City – Hay Al Wafaa,"OMR 108,990","Al Maabilah, Muscat•",154.81 SQM,3,3
2 + 1 BR Apartment in Sultan Haitham City–Freehold Unit with Residency,"OMR 74,830","Al Maabilah, Muscat•",109.2 SQM,3,2
5 BR Amazing Freehold Exclusive Villa in Al Mouj for Sale,"OMR 670,000","The Wave (Almouj), Muscat•",455 SQM,5,5
6 BR Stunning Grand Freehold Villa in Al Mouj for Sale,"OMR 950,000","The Wave (Almouj), Muscat•",907 SQM,6,6
6 + 1 Maid’s Room Freehold Luxurious Off-plan Villa in Al Mouj,"OMR 1,800,000","The Wave (Almouj), Muscat•",933 SQM,6,6
5-Star Freehold Hotel Room with Guaranteed Return on Investment,"OMR 167,680","Barr Al Jissah, Muscat•",43 SQM,1,1
1 BR Amazing Freehold Fully Furnished Apartment in Jebel Sifa,"OMR 73,000","Al Sifah, Muscat•",90.3 SQM,2,1
2 + 1 BR Furnished Freehold Apartment in Jebel Sifah,"OMR 110,000","Al Sifah, Muscat•",121 SQM,3,2
15 BR Commercial Use Villa for Sale – Mawaleh,"OMR 370,000","Al Mawaleh, Muscat•",711 SQM,12,12
2 BR + Study Room Freehold Apartment in Al Mouj for Sale,"OMR 160,000","The Wave (Almouj), Muscat•",127.46 SQM,2,2
1 BR Large Flat in Muscat Hills for Sale – Freehold Ready,"OMR 71,917","Muscat Hills, Muscat•",108 SQM,1,1
EXTRAORIDNARY OFFER!  4 BR  Villa In Muscat Bay with Private Pool,"OMR 456,000","Qantab, Muscat•",498 SQM,5,4
1 BR Fully Furnished Freehold Apartment in Sifah For Sale,"OMR 63,000","Al Sifah, Muscat•",77 SQM,1,1
1 BR Spacious Freehold Flat For Sale – Muscat Hills,"OMR 75,900","Muscat Hills, Muscat•",115 SQM,1,1
2 BR Freehold Corner Apartment in Muscat Hills,"OMR 81,180","Muscat Hills, Muscat•",123 SQM,2,2
3 BR + 1 Maid’s Room Freehold Courtyard Villa in Al Mouj,"OMR 300,000","The Wave (Almouj), Muscat•",247 SQM,4,3
2 BR One of a Kind Duplex Freehold Apartment in Sifah For Sale,"OMR 125,000","Al Sifah, Muscat•",129 SQM,3,2
Courtyard Villa 3+1 BHK | 7 years Installments |فيلا استثنائية في ييتي,"OMR 274,733","Yiti, Muscat•",253 SQM,5,3
1 BR Stunning Freehold Apartment in Al Mouj with Amenities,"OMR 99,000","The Wave (Almouj), Muscat•",70.6 SQM,1,1
2 Bedroom Apartment for Sale In Almouj Muscat,"OMR 143,000","The Wave (Almouj), Muscat•",137 SQM,2,2
قطعة تملك حر نادرة في مرتفعات المطار – سوبر كورنر,OMR 750,"Bosher, Muscat•","5,012 SQM",not mentioned,not mentioned
أرض سكني تجاري نادرة – أول خط شارع 18 نوفمبر – الغبرة الشمالية,"OMR 8,000,000","Al Ghubrah, Muscat•","24,759 SQM",not mentioned,not mentioned
1 BR Freehold Elegant Townhouse – Hawana Salalah,"OMR 65,000","Salalah, Dhofar•",77 SQM,2,1
GHALA | 2738 SQM WAREHOUSE WITH STAFF ACCOMMODATION,"OMR 785,000","Ghala, Muscat•","2,738 SQM",not mentioned,not mentioned
مطلوب فلل مباشرة من المالک |Free sales advertising,"OMR 1,000,000","The Wave (Almouj), Muscat•",600 SQM,5,4
GHALA | 2738 SQM WAREHOUSE WITH STAFF ACCOMODATION FOR SALE,"OMR 800,000","Ghala, Muscat•","2,738 SQM",not mentioned,not mentioned
محلات مؤجره لأقوى البراندات وبعائد قوي جدا في بازار صحار,"OMR 42,000","Sohar, Al Batinah•",35 SQM,not mentioned,not mentioned
فرصتك الأخيرة لامتلاك شقة بإطلالة مارينا في الموج مسقط,"OMR 91,000","The Wave (Almouj), Muscat•",72 SQM,1,1
New project| Apartment for sale|muscat hills |freehold | installments,"OMR 47,000","Muscat Hills, Muscat•",49 SQM,1,Studio
عرض خاص | استثمار مربح | شقه واسعة للبیع | اقامة دائمة سلطنة عمان,"OMR 115,000","The Wave (Almouj), Muscat•",159 SQM,1,1
Boulevard View | Terrace | Flexible Payment Plan | Hay Alwafa,"OMR 57,706","Sultan Haitham City, Muscat•",72.8 SQM,2,1
Luxurious 2BR+Study| Waterfront Living| Payment Plan| Bellevue,"OMR 363,800","Muscat - Other, Muscat•",132 SQM,3,2
Waterfront Living | Payment Plan | Spacious 2BR in Bellevue,"OMR 159,900","Muscat - Other, Muscat•",122 SQM,3,2
"Luxury Waterfront Living | World-Class Amenities | Bellevue,","OMR 116,400","Muscat - Other, Muscat•",81 SQM,2,1
"شقة للبيع تجهز خلال شهرين خلف بانوراما مول ,خيار مثالي للاستثمار","OMR 46,000","Al Ghubrah, Muscat•",104.5 SQM,3,2
منزل جديد للبيع في السويق منطقة خبة آل خميس,"OMR 32,000","Suwaiq, Al Batinah•",625 SQM,4,2
18 SQM Freehold Shop for Sale – Muscat Hills,"OMR 47,700","Muscat Hills, Muscat•",18 SQM,not mentioned,not mentioned
1 BR Off-Plan Apartment with Store Room – Ghala,"OMR 45,700","Ghala, Muscat•",91.4 SQM,2,1
1 BR Furnished Apartment with Stunning Views – Jebel Sifa,"OMR 60,000","Al Sifah, Muscat•",59.3 SQM,1,1
5 BR Stunning Seafront Villa in Sifa – Private Pool,"OMR 980,000","Al Sifah, Muscat•","2,300 SQM",6,5
4 BR Spacious Villa with Pool | Al Ghubra South,"OMR 185,000","Al Ghubrah, Muscat•",475 SQM,4,4
5 BR + Maid’s Room Brand New Villa – Al Khoudh 7,"OMR 143,000","Al Khoud, Muscat•",378 SQM,7,5
15 SQM Freehold Shop for Sale – Muscat Hills,"OMR 39,750","Muscat Hills, Muscat•",15 SQM,not mentioned,not mentioned
38 SQM Studio Apartment – Hawana Salalah,"OMR 45,500","Salalah, Dhofar•",38 SQM,1,Studio
4 + 1 BR Freehold Prestigious Villa – Sultan Haitham City,"OMR 214,500","Al Maabilah, Muscat•",411.55 SQM,6,4
"6 BR Brand New Villa – Al Muna, Bausher","OMR 192,000","Bosher, Muscat•",420 SQM,7,6
3 BR Excellent Penthouse Apartment in Sultan Haitham City with Private,"OMR 120,250","Al Maabilah, Muscat•",185 SQM,4,3
3 BR Freehold Offplan Apartment in Sohar,"OMR 57,380","Sohar, Al Batinah•",120.8 SQM,4,3
Freehold 1 BR apartment featuring a balcony in Sultan Haitham City,"OMR 62,008","Al Maabilah, Muscat•",95 SQM,2,1
Freehold Spacious Studio Apartment with Balcony - Sultan Haitham City,"OMR 46,627","Al Maabilah, Muscat•",72 SQM,1,Studio
2 BR Charming Fully Furnished Apartment in MGM,"OMR 100,000","Al Ghubrah, Muscat•",106 SQM,2,2
2 BR Apartment in Shatti Al Qurum For Sale,"OMR 80,000","Qurum, Muscat•",139 SQM,2,2
5 BR Villa with Private Pool & Garden in Muscat Bay,"OMR 560,000","Barr Al Jissah, Muscat•",999 SQM,5,5
1 BR Fully Furnished Freehold Apartment in Muscat Bay,"OMR 95,000","Qantab, Muscat•",77 SQM,1,1
5 BR Lovely Villa in Amerat,"OMR 94,000","Muscat - Other, Muscat•",440 SQM,6,5
3 + 1 BR Luxury Villa for Sale in Al Muna Gardens,"OMR 151,000","Bosher, Muscat•",235 SQM,3,3
2 + 1 BR Great Cozy Apartment in Qurum for Sale,"OMR 48,000","Qurum, Muscat•",100 SQM,2,2
3 BR + Maid's and Houseboy Room Spacious Villa in Al Mawaleh with Gym,"OMR 290,000","Al Mawaleh, Muscat•","1,062 SQM",5,3
Apartment for sale 1 bhk in Muscat Hills,"OMR 59,500","Muscat Hills, Muscat•",74 SQM,2,1
أرض للبيع او الاستثمار أرض سكني بمساحة 1000 متر مربع في ولاية جعلان,OMR 300,"Jalan Bani Buhassan, Al Sharqiya•","1,000 SQM",not mentioned,not mentioned
أرض للبيع قطعة أرض سكني تجاري بمساحة 660 متر مربع في ولاية مصيره,OMR 100,"Masira, Al Sharqiya•",660 SQM,not mentioned,not mentioned
أرض للبيع ثلاث مزارع في ولاية بدية - الغبرة,OMR 100,"Bidiya, Al Sharqiya•",450 SQM,not mentioned,not mentioned
3 bed room appartment at St. regis. شقة 3 غرف في سانت ريجس,"OMR 814,107","The Wave (Almouj), Muscat•",356.83 SQM,4,3
استراحة ( فيلا ) للبيع في بوشر المسفاة-Villa for sale in Bousher,"OMR 95,000","Misfah, Muscat•",600 SQM,4,3
"شقة للبيع في السيفة ج 6- Apartment for Sale – Al Sifah, Block G6","OMR 65,000","Al Sifah, Muscat•",91.3 SQM,1,1
فيلا للبيع في الحيل الشمالية - Villa for Sale in north AlHail,"OMR 140,000","Al Hail, Muscat•",305 SQM,7,6
شقة للبيع في بناية السماء الخوير-Apartment for Sale – Al Sama Building,"OMR 60,000","Al Khuwair, Muscat•",125.82 SQM,4,3
Prime Residential & Commercial Building for Sale in Ruwi,"OMR 6,000,000","Ruwi, Muscat•","11,278.11 SQM",not mentioned,not mentioned
SR- MD- 139  1BHK Apartment for Sale – Al Mouj/شقة غرفة وصالة للبيع,"OMR 175,000","The Wave (Almouj), Muscat•",95 SQM,2,1
SR- SM- 122 Flat for sale in muscat hills شقة للبيع في مسقط هيلز,"OMR 85,000","Muscat Hills, Muscat•",110 SQM,1,1
"""SR-YH- 51 Villa for Sale in South Al Maabelah","OMR 105,000","Al Maabilah, Muscat•",300 SQM,6,5
"""SR-NS- 44 Luxurious Villas for Sale in Al Khoud - فيلا للبيع في الخوض","OMR 137,000","Al Khoud, Muscat•",420 SQM,6,5
SR-RO- 48 Villa for Sale in Al Khoud - فيلا للبيع في الخوض,"OMR 165,000","Al Khoud, Muscat•",500 SQM,5,3
Rare & Unique Beachfront Villa—A Coastal Paradise for the Whole Family,"OMR 1,400,000","Al Sifah, Muscat•","2,242 SQM",7,5
Villa for Sale in Al Mouj with 6 Bedrooms - فيلا للبيع في الموج,"OMR 1,406,000","Muscat - Other, Muscat•",907 SQM,8,6
للبيع: أرض 600 متر مربع في القريحه - بركاء، موقع مميز,"OMR 11,000","Barka, Al Batinah•",600 SQM,not mentioned,not mentioned
للبيع: أرضان متصلتان في موقع مميز جدًا في منطقة الهرم - بركاء,"OMR 30,000","Barka, Al Batinah•","1,200 SQM",not mentioned,not mentioned
أرض سكنية للبيع في الغبرة الشمالية، مسقط FSL09,"OMR 105,000","Al Ghubrah, Muscat•",566 SQM,not mentioned,not mentioned
FREE HOLD!! Own a 3BHK Sky Villa at Yenaier - SHC,"OMR 110,640","Sultan Haitham City, Muscat•",196 SQM,4,3
FREE HOLD!! Own your 2BHK Sky Residence at Yenaier - SHC,"OMR 80,835","Sultan Haitham City, Muscat•",132 SQM,3,2
FREE HOLD!! 1BHK Suites at Yenaier in Sultan Haitham City,"OMR 62,000","Sultan Haitham City, Muscat•",95 SQM,2,1
محل للبيع في موقع متميز بمساحة 55 متر مربع في سندان  FSC12,"OMR 29,000","Nakhl, Al Batinah•",55 SQM,not mentioned,not mentioned
"Free Hold!! 1BR Apartment in Jebel Sifah, Solaris - W/ Payment Plan","OMR 72,000","Al Sifah, Muscat•",54 SQM,1,1
Free Hold!! 1BHK Apartment For Sale in Golf Links - Al Mouj FSA63,"OMR 155,000","The Wave (Almouj), Muscat•",80 SQM,2,1
فيلا فاخرة 6+1 غرف نوم مع أرض واسعة للبيع في المعبيلة FSV67,"OMR 260,000","Al Maabilah, Muscat•",656 SQM,8,7
6+1 BHK Brand New Modern Villa Al Amerat For Sale FSV68,"OMR 205,000","Al Amarat, Muscat•",520 SQM,9,6
"Own Your Dream Villa in Ghadeer Park, Al Mouj Muscat! FSV52","OMR 302,000","The Wave (Almouj), Muscat•",269 SQM,3,3
Free Hold!! Buy in Sultan Haitham City 4+1BHK Semi-Detached Villas!!,"OMR 175,000","Al Maabilah, Muscat•",333.88 SQM,5,4
AL MOUJ | LUXURIOUS 4+1BR UNFURNISHED VILLA WITH PRIVATE POOL FOR SALE,"OMR 380,000","The Wave (Almouj), Muscat•",502 SQM,7,5
2 BR Freehold Off Plan Apartment in Yiti,"OMR 144,554","Yiti, Muscat•",117.92 SQM,2,2
4 BR + Maid’s Room Fully Renovated Villa | Mawaleh South,"OMR 95,000","Al Mawaleh, Muscat•",300 SQM,4,4
3 BR + Maid’s Room Townhouse in Muscat Hills,"OMR 379,496","Muscat Hills, Muscat•",356 SQM,4,3
3 BR Incredible Duplex Sky Villa - Sultan Haitham City with Private Po,"OMR 133,575","Al Maabilah, Muscat•",195 SQM,4,3
2 BR Freehold Offplan Apartment in Sohar,"OMR 49,420","Sohar, Al Batinah•",97.4 SQM,3,2
4 + 1 BR Large Villa in Yiti with Residency,"OMR 455,617.55","Yiti, Muscat•",506 SQM,6,4
1 BR Beautiful Freehold Penthouse Apartment in Muscat Hills for Sale,"OMR 80,000","Muscat Hills, Muscat•",105 SQM,1,1
1 BR Apartment for Sale in Yiti – Freehold with Visa,"OMR 89,118","Yiti, Muscat•",50 SQM,2,1
Villa for Sale with 3 bedrooms in Aida Muscat,"OMR 234,031","Yiti, Muscat•",160 SQM,3,3
Villa for Sale in Muscat Yiti with 3 BHK,"OMR 229,766","Yiti, Muscat•",256 SQM,4,3
Villa for Sale with 4 BHK in Muscat Yiti,"OMR 281,101","Yiti, Muscat•",257.84 SQM,4,4
Apartment for Sale with 1 BHK,"OMR 47,000","Salalah, Dhofar•",65 SQM,1,1
Don’t miss this lovely 1 BHK apartment for sale Al Mouj,"OMR 93,000","The Wave (Almouj), Muscat•",90 SQM,1,1
Apartment for Sale in Aida Muscat with 3 BHK,"OMR 257,655","Yiti, Muscat•",169 SQM,3,3
Apartment for Sale with 2 BHK in Muscat Bay,"OMR 165,000","Qantab, Muscat•",142 SQM,2,2
Apartment for Sale with 3 BHK in Muscat Bay,"OMR 131,500","Qantab, Muscat•",133 SQM,3,2
Apartment for Sale with 3 BHK in Muscat Bay,"OMR 133,000","Qantab, Muscat•",138 SQM,3,2
Apartment for Sale with 1 BHK in Muscat Bay,"OMR 80,000","Qantab, Muscat•",86 SQM,1,1
Apartment for Sale with 2 bedrooms,"OMR 122,000","Qantab, Muscat•",128 SQM,2,2
Villa for Sale with 4 Bedrooms in Muscat Yiti,"OMR 1,215,385","Yiti, Muscat•",315.68 SQM,4,4
Villa for Sale with 4 BHK in Muscat Yiti,"OMR 241,255","Yiti, Muscat•",256.5 SQM,4,4
Villa for Sale 5BR | Cliff & Golf Views | Trump Golf AIDA,"OMR 905,000","Yiti, Muscat•",405 SQM,5,5
Villa for Sale 5BR | Sea & Golf View | Trump Golf Villa | AIDA,"OMR 922,000","Yiti, Muscat•",405 SQM,5,5
