property_name,sale_price,prop_location,prop_area,prop_bathrooms,number_of_rooms
ارض صناعيه للبيع,"OMR 45,000","Suwaiq, Al Batinah•","1,050 SQM",not mentioned,not mentioned
مطلوب أرض سكني تجاري قريات,"OMR 50,000","Qurayyat, Muscat•","2,000 SQM",not mentioned,not mentioned
بيت قديم في منطقة وادي عدي بسعر مغري,"OMR 16,000","Al Amarat, Muscat•",149 SQM,1,3
عزبة للبيع,"OMR 3,000","Al Buraimi, Al Buraimi•","1,200 SQM",not mentioned,not mentioned
Alkhuwair 17/2 Villa for sale or investor if anyone intrusted,"OMR 110,000","Al Khuwair, Muscat•",336 SQM,7,5
البريمي ارض الجو,"OMR 15,000","Al Buraimi, Al Buraimi•",668 SQM,not mentioned,not mentioned
أرض للبيع,"OMR 15,000","Barka, Al Batinah•",690 SQM,not mentioned,not mentioned
العامرات الحاجر,"OMR 10,300","Al Amarat, Muscat•",600 SQM,not mentioned,not mentioned
أرض سكنية ملاصقة المعبيلة الثامنة الشخاخيط,"OMR 38,500","Al Maabilah, Muscat•",600 SQM,not mentioned,not mentioned
A LEGACY SHOP FOR SALE IN THE HEART OF SOUTH AL GHUBRA,"OMR 8,500","Al Ghubrah, Muscat•",25 SQM,not mentioned,not mentioned
شقة في العامرات السادسة البريد.  وسط الخدمات وكافة اامرافق,"OMR 17,000","Al Amarat, Muscat•",85 SQM,2,2
أرض للبدل,"OMR 13,000","Al Amarat, Muscat•",600 SQM,not mentioned,not mentioned
showroom,"OMR 1,000","Al Seeb, Muscat•",300 SQM,not mentioned,not mentioned
جزء من توين فيلا للبيع في المعبيلة السادسه خط اول من شارع,"OMR 68,000","Al Seeb, Muscat•",280 SQM,3,4
للبيع فيلا من اصل توين فيلا الشرادي,"OMR 70,000","Al Seeb, Muscat•",300 SQM,4,6
للبيع فيلا من اصل توين فيلا الشرادي,"OMR 70,000","Al Seeb, Muscat•",300 SQM,4,6
ارض في العقده الشماليه,"OMR 5,000","Al Buraimi, Al Buraimi•",763 SQM,not mentioned,not mentioned
